Array count,Array size,Sorter,Time
500,4,sequential sorting network,82400
500,4,std::sort,105600
510,4,own sorting network,143897800
510,4,openmp sorting network,75600
510,4,sequential sorting network,76000
510,4,std::sort,73200
520,4,own sorting network,110763700
520,4,openmp sorting network,71500
520,4,sequential sorting network,98100
520,4,std::sort,78300
530,4,own sorting network,123941800
530,4,openmp sorting network,201500
530,4,sequential sorting network,96700
530,4,std::sort,108100
540,4,own sorting network,131704800
540,4,openmp sorting network,75000
540,4,sequential sorting network,161700
540,4,std::sort,113200
550,4,own sorting network,114119900
550,4,openmp sorting network,100800
550,4,sequential sorting network,102200
550,4,std::sort,169000
560,4,own sorting network,113839800
560,4,openmp sorting network,98900
560,4,sequential sorting network,102400
560,4,std::sort,127300
570,4,own sorting network,121191900
570,4,openmp sorting network,89200
570,4,sequential sorting network,87100
570,4,std::sort,82900
580,4,own sorting network,116485700
580,4,openmp sorting network,77600
580,4,sequential sorting network,77200
580,4,std::sort,84900
590,4,own sorting network,125421100
590,4,openmp sorting network,89200
590,4,sequential sorting network,89700
590,4,std::sort,117900
600,4,own sorting network,141617600
600,4,openmp sorting network,442500
600,4,sequential sorting network,108600
600,4,std::sort,121000
610,4,own sorting network,162508400
610,4,openmp sorting network,83700
610,4,sequential sorting network,82000
610,4,std::sort,92500
620,4,own sorting network,135216300
620,4,openmp sorting network,112700
620,4,sequential sorting network,130900
620,4,std::sort,133200
630,4,own sorting network,141809400
630,4,openmp sorting network,87800
630,4,sequential sorting network,117400
630,4,std::sort,142300
640,4,own sorting network,145898600
640,4,openmp sorting network,101800
640,4,sequential sorting network,86400
640,4,std::sort,96600
650,4,own sorting network,142851300
650,4,openmp sorting network,116700
650,4,sequential sorting network,113700
650,4,std::sort,130000
660,4,own sorting network,142584000
660,4,openmp sorting network,88100
660,4,sequential sorting network,87500
660,4,std::sort,95400
670,4,own sorting network,189749800
670,4,openmp sorting network,121800
670,4,sequential sorting network,136200
670,4,std::sort,101800
680,4,own sorting network,161401800
680,4,openmp sorting network,120100
680,4,sequential sorting network,119800
680,4,std::sort,106700
690,4,own sorting network,131569100
690,4,openmp sorting network,124900
690,4,sequential sorting network,94500
690,4,std::sort,98600
700,4,own sorting network,127158900
700,4,openmp sorting network,110800
700,4,sequential sorting network,90900
700,4,std::sort,99700
710,4,own sorting network,134171900
710,4,openmp sorting network,92400
710,4,sequential sorting network,88600
710,4,std::sort,112200
720,4,own sorting network,134474300
720,4,openmp sorting network,93200
720,4,sequential sorting network,93800
720,4,std::sort,97000
730,4,own sorting network,129783800
730,4,openmp sorting network,103600
730,4,sequential sorting network,87800
730,4,std::sort,127700
740,4,own sorting network,146452200
740,4,openmp sorting network,93700
740,4,sequential sorting network,92500
740,4,std::sort,103800
750,4,own sorting network,145728600
