Array count,Array size,Sorter,Time
100,40,own sorting network,4895709300
100,40,openmp sorting network,2215900
100,40,sequential sorting network,2228400
100,40,std::sort,1171800
10,48,own sorting network,104518300
10,48,openmp sorting network,51200
10,48,sequential sorting network,51800
10,48,std::sort,27100
20,48,own sorting network,317559100
20,48,openmp sorting network,153900
20,48,sequential sorting network,169800
20,48,std::sort,78600
30,48,own sorting network,660181500
30,48,openmp sorting network,324500
30,48,sequential sorting network,329400
30,48,std::sort,158000
40,48,own sorting network,1087634400
40,48,openmp sorting network,525000
40,48,sequential sorting network,529100
40,48,std::sort,261500
50,48,own sorting network,1609288100
50,48,openmp sorting network,768300
50,48,sequential sorting network,779000
50,48,std::sort,388700
60,48,own sorting network,2220221400
60,48,openmp sorting network,1066600
60,48,sequential sorting network,1103700
60,48,std::sort,542200
70,48,own sorting network,2931865700
70,48,openmp sorting network,1449600
70,48,sequential sorting network,1458200
70,48,std::sort,725200
80,48,own sorting network,3745912500
80,48,openmp sorting network,1842800
80,48,sequential sorting network,1857200
80,48,std::sort,927900
90,48,own sorting network,4661921800
90,48,openmp sorting network,2318900
90,48,sequential sorting network,2347200
90,48,std::sort,1167400
100,48,own sorting network,5706565900
100,48,openmp sorting network,2818000
100,48,sequential sorting network,2835500
100,48,std::sort,1428500
10,56,own sorting network,117200300
10,56,openmp sorting network,71900
10,56,sequential sorting network,64700
10,56,std::sort,36200
20,56,own sorting network,374938000
20,56,openmp sorting network,193300
20,56,sequential sorting network,186700
20,56,std::sort,99800
30,56,own sorting network,730008200
30,56,openmp sorting network,374300
30,56,sequential sorting network,365600
30,56,std::sort,192200
40,56,own sorting network,1203189700
40,56,openmp sorting network,621600
40,56,sequential sorting network,605300
40,56,std::sort,314900
50,56,own sorting network,1793303200
50,56,openmp sorting network,929100
50,56,sequential sorting network,902800
50,56,std::sort,466800
60,56,own sorting network,2513107900
60,56,openmp sorting network,1300100
60,56,sequential sorting network,1280100
60,56,std::sort,674500
70,56,own sorting network,3365614800
70,56,openmp sorting network,1726100
70,56,sequential sorting network,1695400
70,56,std::sort,897000
80,56,own sorting network,4327029300
80,56,openmp sorting network,2203000
80,56,sequential sorting network,2171900
80,56,std::sort,1140600
90,56,own sorting network,5445035200
90,56,openmp sorting network,2783600
90,56,sequential sorting network,2759500
90,56,std::sort,1475000
100,56,own sorting network,6756100100
100,56,openmp sorting network,3394300
100,56,sequential sorting network,3359200
100,56,std::sort,1840500
10,64,own sorting network,135355000
10,64,openmp sorting network,73000
10,64,sequential sorting network,72300
10,64,std::sort,37900
20,64,own sorting network,412038100
20,64,openmp sorting network,220200
20,64,sequential sorting network,240900
20,64,std::sort,111900
30,64,own sorting network,816427300
30,64,openmp sorting network,445600
30,64,sequential sorting network,454300
30,64,std::sort,221000
40,64,own sorting network,1357363600
40,64,openmp sorting network,736700
40,64,sequential sorting network,752900
40,64,std::sort,368000
50,64,own sorting network,2220586500
50,64,openmp sorting network,1156700
50,64,sequential sorting network,1162400
50,64,std::sort,567000
60,64,own sorting network,3274964600
60,64,openmp sorting network,1593100
60,64,sequential sorting network,1582800
60,64,std::sort,789500
70,64,own sorting network,4231120100
70,64,openmp sorting network,2087900
70,64,sequential sorting network,2105700
70,64,std::sort,1046300
80,64,own sorting network,5304188100
80,64,openmp sorting network,2658400
80,64,sequential sorting network,2692700
80,64,std::sort,1341600
90,64,own sorting network,6521558800
90,64,openmp sorting network,3291200
90,64,sequential sorting network,3358900
90,64,std::sort,1722800
100,64,own sorting network,7876703100
100,64,openmp sorting network,4008000
100,64,sequential sorting network,4074100
100,64,std::sort,2078100
10,72,own sorting network,195154800
10,72,openmp sorting network,97200
10,72,sequential sorting network,96300
10,72,std::sort,43200
20,72,own sorting network,606564200
20,72,openmp sorting network,286500
20,72,sequential sorting network,286400
20,72,std::sort,127700
30,72,own sorting network,1220259700
30,72,openmp sorting network,579000
30,72,sequential sorting network,578600
30,72,std::sort,256100
40,72,own sorting network,2037830000
40,72,openmp sorting network,963600
40,72,sequential sorting network,956100
40,72,std::sort,428800
50,72,own sorting network,3058792300
